Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames,,,,,,
1,11148815,SZU Bayes,4/15/2024 8:14,0,2,bayes2003,,,,,,
2,11700207,Mohamed Gobara,3/1/2024 19:53,0.00044,4,"ahmedkandeil,mahmoudelseginy,mohamedgobara",,,,,,
3,11713212,WangJiankun,3/2/2024 5:36,0.00044,1,havel18653414084,,,,,,
4,10667563,Efecan Guler,3/2/2024 18:21,0.00044,1,efecanxrd,,,,,,
5,11653027,The Hard Ones,3/3/2024 19:15,0.00044,18,"kishoresabbavarapu,rasmuskristensen,savird",,,,,,
6,10632599,Sheep Ca,3/13/2024 11:50,0.00044,8,sheepca,,,,,,
7,11723650,Le Quang That,3/6/2024 1:33,0.00044,10,lqthat,,,,,,
8,7856603,Yihan Guo,3/5/2024 15:08,0.00044,3,yihanguo,,,,,,
9,11736716,Alla Pliskovskaia,3/6/2024 14:45,0.00044,2,allapliskovskaia,,,,,,
10,11736098,Beketov Ivan,3/9/2024 10:23,0.00044,2,beketovivan,,,,,,
11,11629622,LoujaienElsherbiny,3/9/2024 15:01,0.00044,8,loujaienelsherbiny,,,,,,
12,11756947,nicksumin,3/10/2024 18:16,0.00044,2,nicksumin,,,,,,
13,11760341,Sorochkin_Daniil,3/11/2024 7:49,0.00044,2,sorochkindaniil,,,,,,
14,11734860,Aere777,3/11/2024 12:09,0.00044,2,aere777,,,,,,
15,11763115,Андрей Речкалов,3/11/2024 18:11,0.00044,2,bizonator,,,,,,
16,11763323,MrRooots,3/11/2024 17:46,0.00044,2,mrrooots,,,,,,
17,11763402,Lentyaeena,3/11/2024 18:21,0.00044,3,lentyaeena,,,,,,
18,11119729,Abhinav #9,3/12/2024 9:01,0.00044,3,abhinav22410002,,,,,,
19,11769583,Ekaterina Kucherova,3/12/2024 20:55,0.00044,5,ekaterinakucherova,,,,,,
20,10575849,science carry,3/26/2024 15:25,0.00044,26,sciencecarry,,,,,,
21,11765689,ArcherPan,3/14/2024 8:41,0.00044,1,archerpan,,,,,,
22,11758192,anandshaw2001,4/1/2024 11:10,0.00044,20,anandshaw2001,,,,,,
23,8729550,Netri Alia Rahmi,3/16/2024 7:28,0.00044,1,netrialiarahmi,,,,,,
24,11742928,FannyC13,3/17/2024 1:46,0.00044,22,fannyc13,,,,,,
25,11722381,Xiang Hengshu,3/18/2024 6:58,0.00044,29,xianghengshu,,,,,,
26,11795661,GurpreetSingh2512,3/18/2024 11:56,0.00044,1,bunny11,,,,,,
27,8714591,Valery Shelganova,3/18/2024 16:55,0.00044,2,valeryshelganova,,,,,,
28,11261373,Fedy BEN HASSOUNA,3/19/2024 0:39,0.00044,5,fedybenhassouna,,,,,,
29,11771671,Egor Gologuzov,3/26/2024 18:19,0.00044,4,egorgologuzov,,,,,,
30,11692154,Dimash,3/20/2024 18:30,0.00044,12,dimashzh,,,,,,
31,8113124,serkanp,4/25/2024 5:34,0.00044,5,serkanp,,,,,,
32,11799516,Yingzi Shan,4/6/2024 3:08,0.00044,3,yingzishan,,,,,,
33,11822655,Rosebud,3/24/2024 11:35,0.00044,3,r0s3budf,,,,,,
34,11793902,yang100379,3/25/2024 5:03,0.00044,7,yangryan100379,,,,,,
35,11825032,ZeHong Ren,3/24/2024 16:05,0.00044,1,zehongren,,,,,,
36,11804694,Zhang TZ,4/14/2024 7:57,0.00044,7,zhangtianzhao,,,,,,
37,10973068,Mohd Shahnawaz Aadil,4/4/2024 0:48,0.00044,4,mohdshahnawazaadil,,,,,,
38,11771410,Nmims team,3/26/2024 14:05,0.00044,7,"gauriiiiis,jparadava,krishapatel02,sumannnnn",,,,,,
39,11761518,OleVri,3/27/2024 12:34,0.00044,2,olevri,,,,,,
40,11801739,kaggle_man,3/28/2024 13:04,0.00044,2,lihaiyang123,,,,,,
41,10206535,LEEYONGBIN,4/11/2024 9:57,0.00044,5,leeyongbin,,,,,,
42,11849786,mojimoon,3/29/2024 10:19,0.00044,2,cryovit,,,,,,
43,11865974,Renuka Oladri,3/31/2024 14:45,0.00044,1,renukaoladhri,,,,,,
44,9912807,Kasra arzani,3/31/2024 22:02,0.00044,1,kasraarzani,,,,,,
45,11888478,Dwbjmy,4/5/2024 5:30,0.00044,3,dwbjmy,,,,,,
46,11898650,Naimul Hasan Shadesh,4/5/2024 14:25,0.00044,1,shadesh,,,,,,
47,11923806,Hai The Cat Nguyen,4/19/2024 12:43,0.00044,8,haithecatnguyen,,,,,,
48,11933368,Rajsethk1,4/11/2024 22:51,0.00044,1,rajsethk1,,,,,,
49,11828316,The second ranked gods,4/17/2024 0:47,0.00044,42,thesecondrankedgods,,,,,,
50,11778791,Stop 🐦‍⬛ data 🐦‍⬛ leak 🐦‍⬛,4/16/2024 23:51,0.00044,1,grottileonardo,,,,,,
51,11960541,Flockzr,4/17/2024 1:52,0.00044,4,flockzr,,,,,,
52,11994345,luofengjun,4/23/2024 1:34,0.00044,1,luofengjun,,,,,,
53,10364715,PKU IM Python Analysis Group,2/28/2024 11:48,0.00044,2,"fanwenxiao,jamessslee,joanna12345,shuaizeqiao",,,,,,
54,11705647,ChargeUtile,3/17/2024 13:18,0.00281,9,ienjoytotallyspies,,,,,,
55,11903732,IliaGrishkin93,4/14/2024 15:11,0.02573,56,iliagrishkin93,,,,,,
56,11169361,skjoldraudr,3/19/2024 20:46,0.03299,1,skjoldraudr,,,,,,
57,10821158,Anil Reddy #2,4/27/2024 19:19,0.05002,90,anilreddyvv,,,,,,
58,11870616,Paddy ZHAO,4/27/2024 19:45,0.05002,27,paddyzhao,,,,,,
59,4825793,Aftab Ashraf Av,3/10/2024 15:41,0.05179,4,aftabashrafav,,,,,,
60,11987316,Shwetha Ravi,4/24/2024 21:05,0.05179,10,shwetharavioli,,,,,,
61,11742355,Mordjane,3/17/2024 20:58,0.05903,8,"elysene,felixbrrr,hamzaefrei,juleslogerot,mordjane,morgansenechal,nassim933,rayenhaddad,tomhuser,zeork7",,,,,,
62,11946795,MarshalPingu,4/14/2024 14:18,0.05947,1,marshalpingu,,,,,,
63,11752653,TL #2,3/14/2024 16:02,0.07803,2,yucheng1122,,,,,,
64,11753961,[Deleted] b7846679-3691-4fdd-9e44-9e28713721c0,3/17/2024 14:22,0.07803,12,del=23048a8d7af4ea77,,,,,,
65,11805226,niuniuQi,3/23/2024 8:50,0.07803,3,niuniuqi,,,,,,
66,11689989,Eugene Kim #2,3/24/2024 1:29,0.07803,15,eugenekim11,,,,,,
67,11662330,STA316-NKU,3/26/2024 7:08,0.11261,7,"agnibhabhattacharya,caesarzbao,itzgauurab",,,,,,
68,11669478,Bhumrapee Soonjun,3/1/2024 14:24,0.1136,2,bhumrapeesoonjun,,,,,,
69,11892029,Tom De Munck,4/25/2024 6:43,0.11367,38,tomdemunck,,,,,,
70,11573748,TeamG,4/19/2024 12:05,0.1151,17,gerardrx,,,,,,
71,11938508,F Braham,4/13/2024 2:02,0.11546,11,fbraham,,,,,,
72,11269254,Vaida Juskaite,3/24/2024 12:58,0.11561,6,vaidajuskaite,,,,,,
73,11733220,[Deleted] 94635311-5a7f-4d3a-b06f-1abc4a3b664c,3/8/2024 18:05,0.11621,15,del=e10d169524251373,,,,,,
74,11917458,Faycal10 Braham,4/11/2024 23:24,0.1163,18,faycal10braham,,,,,,
75,11754657,sarajashari,3/10/2024 14:51,0.11689,18,sarajashari,,,,,,
76,11369176,Beytuh,4/12/2024 0:21,0.11699,1,beytuh,,,,,,
77,8726339,AiDeeSiS,3/14/2024 8:48,0.117,1,aideesis,,,,,,
78,6407505,Ken Koltermann,3/26/2024 12:27,0.117,15,kenkoltermann,,,,,,
79,11903150,TeamAI6102,4/25/2024 1:49,0.11705,46,"asvinis,chakarapni,jasonpzs",,,,,,
80,11867904,Brady Wu #2,4/6/2024 22:36,0.11706,11,bradybwu,,,,,,
81,473047,caner,4/18/2024 20:07,0.11708,2,canerturkmen,,,,,,
82,11617523,Wingoal Pan,3/2/2024 6:06,0.11718,12,wingoalpan,,,,,,
83,11750043,[Deleted] 860c9d2f-0de7-488c-b5a4-e04e4137e953,3/8/2024 19:58,0.1172,10,del=35a186dcbd58beea,,,,,,
84,11667535,Mahdiyeh Safarzadeh,3/9/2024 2:09,0.1172,11,mahdiyehsafarzadeh,,,,,,
85,11623673,sarjashari,3/10/2024 21:55,0.1172,20,sarjashari,,,,,,
86,11980760,Vishnu Pullela,4/23/2024 1:48,0.1172,13,vishnupullela,,,,,,
87,12016720,SZU limmm,4/26/2024 4:20,0.1172,7,mmmlim,,,,,,
88,11773154,Samy Mebarki,3/13/2024 14:33,0.11722,3,"hanibenchalel,roustoum1998abdel,samymebarki,walidtolba24",,,,,,
89,11959695,Henrique Sousa #2,4/18/2024 0:27,0.11726,18,henriquesousa369,,,,,,
90,10264375,prarid,3/28/2024 23:41,0.11729,52,prarid,,,,,,
